"","Player","GamesPlayed","Goals","Year"
"1","Sergio Agüero","34","23",2011
"2","Edin Dzeko","30","14",2011
"3","Mario Balotelli","23","13",2011
"4","David Silva","36","6",2011
"5","Yaya Touré","32","6",2011
"6","Adam Johnson","26","6",2011
"7","Samir Nasri","31","5",2011
"8","Carlos Tevez","13","4",2011
"9","Vincent Kompany","31","3",2011
"10","James Milner","26","3",2011
"11","Joleon Lescott","31","2",2011
"12","Aleksandar Kolarov","12","2",2011
"13","Gareth Barry","34","1",2011
"14","Micah Richards","29","1",2011
"15","Pablo Zabaleta","21","1",2011
"16","Stefan Savic","11","1",2011
"17","Joe Hart","38","0",2011
"18","Gaël Clichy","28","0",2011
"19","Nigel de Jong","21","0",2011
"20","Kolo Touré","14","0",2011
"21","David Pizarro","5","0",2011
"22","Abdul Razak","1","0",2011
"23","Owen Hargreaves","1","0",2011
"24","Karim Rekik","0","0",2011
"25","Wayne Rooney","34","27",2011
"26","Javier Hernández","28","10",2011
"27","Danny Welbeck","30","9",2011
"28","Nani","29","8",2011
"29","Dimitar Berbatov","12","7",2011
"30","Ashley Young","25","6",2011
"31","Antonio Valencia","27","4",2011
"32","Paul Scholes","17","4",2011
"33","Michael Carrick","30","2",2011
"34","Ryan Giggs","25","2",2011
"35","Park Ji-Sung","17","2",2011
"36","Anderson","10","2",2011
"37","Phil Jones","29","1",2011
"38","Jonny Evans","29","1",2011
"39","Chris Smalling","19","1",2011
"40","Darren Fletcher","8","1",2011
"41","Patrice Evra","37","0",2011
"42","Rio Ferdinand","30","0",2011
"43","David de Gea","29","0",2011
"44","Rafael","12","0",2011
"45","Tom Cleverley","10","0",2011
"46","Anders Lindegaard","8","0",2011
"47","Nemanja Vidic","6","0",2011
"48","Fabio","5","0",2011
"49","Paul Pogba","3","0",2011
"50","Robin van Persie","38","30",2011
"51","Theo Walcott","35","8",2011
"52","Thomas Vermaelen","29","6",2011
"53","Mikel Arteta","31","7",2011
"54","Gervinho","28","4",2011
"55","Yossi Benayoun","20","4",2011
"56","Aaron Ramsey","34","2",2011
"57","Laurent Koscielny","33","2",2011
"58","Alex Oxlade-Chamberlain","16","2",2011
"59","André Santos","15","2",2011
"60","Alex Song","34","1",2011
"61","Tomas Rosicky","28","1",2011
"62","Bacary Sagna","21","1",2011
"63","Andrey Arshavin","19","1",2011
"64","Kieran Gibbs","16","1",2011
"65","Marouane Chamakh","11","1",2011
"66","Thierry Henry","4","1",2011
"67","Wojciech Szczesny","38","0",2011
"68","Per Mertesacker","21","0",2011
"69","Johan Djourou","18","0",2011
"70","Francis Coquelin","10","0",2011
"71","Carl Jenkinson","9","0",2011
"72","Ignasi Miquel","4","0",2011
"73","Abou Diaby","4","0",2011
"74","Emmanuel Adebayor","33","17",2011
"75","Rafael Van der Vaart","33","11",2011
"76","Jermain Defoe","25","11",2011
"77","Gareth Bale","36","9",2011
"78","Luka Modric","36","4",2011
"79","Aaron Lennon","23","3",2011
"80","Louis Saha","28","4",2011
"81","Kyle Walker","37","2",2011
"82","Benoît Assou-Ekotto","34","2",2011
"83","Younes Kaboul","33","1",2011
"84","Niko Kranjcar","12","1",2011
"85","Roman Pavlyuchenko","5","1",2011
"86","Brad Friedel","38","0",2011
"87","Scott Parker","29","0",2011
"88","Jake Livermore","24","0",2011
"89","Sandro","23","0",2011
"90","Ledley King","21","0",2011
"91","William Gallas","15","0",2011
"92","Danny Rose","11","0",2011
"93","Michael Dawson","8","0",2011
"94","Giovani Dos Santos","7","0",2011
"95","Ryan Nelsen","6","0",2011
"96","Vedran Corluka","3","0",2011
"97","Tom Huddlestone","2","0",2011
"98","Demba Ba","34","16",2011
"99","Papiss Demba Cisse","14","13",2011
