"","X","Player","Position","MarketValue","Club","Year"
"1",1,"Petr Cech","Goalkeeper",25,"fc-chelsea",2011
"2",2,"Ross Turnbull","Goalkeeper",1.5,"fc-chelsea",2011
"3",3,"Henrique Hilário","Goalkeeper",0.5,"fc-chelsea",2011
"4",4,"Jamal Blackman","Goalkeeper",NA,"fc-chelsea",2011
"5",5,"David Luiz","Centre-Back",23,"fc-chelsea",2011
"6",6,"Branislav Ivanovic","Centre-Back",21,"fc-chelsea",2011
"7",7,"John Terry","Centre-Back",17.5,"fc-chelsea",2011
"8",8,"Gary Cahill","Centre-Back",16.5,"fc-chelsea",2011
"9",9,"Alex","Centre-Back",8.5,"fc-chelsea",2011
"10",10,"Ashley Cole","Left-Back",12.5,"fc-chelsea",2011
"11",11,"Ryan Bertrand","Left-Back",2.5,"fc-chelsea",2011
"12",12,"Bosingwa","Right-Back",5,"fc-chelsea",2011
"13",13,"Paulo Ferreira","Right-Back",1,"fc-chelsea",2011
"14",14,"Michael Essien","Defensive Midfield",24,"fc-chelsea",2011
"15",15,"John Mikel Obi","Defensive Midfield",19,"fc-chelsea",2011
"16",16,"Oriol Romeu","Defensive Midfield",8,"fc-chelsea",2011
"17",17,"Sam Hutchinson","Defensive Midfield",NA,"fc-chelsea",2011
"18",18,"Nathaniel Chalobah","Defensive Midfield",NA,"fc-chelsea",2011
"19",19,"Ramires","Central Midfield",30,"fc-chelsea",2011
"20",20,"Raúl Meireles","Central Midfield",15,"fc-chelsea",2011
"21",21,"Frank Lampard","Central Midfield",5.5,"fc-chelsea",2011
"22",22,"Josh McEachran","Central Midfield",4.5,"fc-chelsea",2011
"23",23,"Juan Mata","Attacking Midfield",38,"fc-chelsea",2011
"24",24,"Lucas Piazón","Left Winger",7.5,"fc-chelsea",2011
"25",25,"Salomon Kalou","Left Winger",6,"fc-chelsea",2011
"26",26,"Florent Malouda","Left Winger",5.5,"fc-chelsea",2011
"27",27,"Yossi Benayoun","Right Winger",4.5,"fc-chelsea",2011
"28",28,"Fernando Torres","Centre-Forward",35,"fc-chelsea",2011
