"","Player","ProfileLink"
"1","Petr Cech","http://www.transfermarkt.com/petr-cech/profil/spieler/5658"
"2","Ross Turnbull","http://www.transfermarkt.com/ross-turnbull/profil/spieler/29159"
"3","Henrique Hilário","http://www.transfermarkt.com/henrique-hilario/profil/spieler/13886"
"4","Jamal Blackman","http://www.transfermarkt.com/jamal-blackman/profil/spieler/128898"
"5","David Luiz","http://www.transfermarkt.com/david-luiz/profil/spieler/46741"
"6","Branislav Ivanovic","http://www.transfermarkt.com/branislav-ivanovic/profil/spieler/36827"
"7","John Terry","http://www.transfermarkt.com/john-terry/profil/spieler/3160"
"8","Gary Cahill","http://www.transfermarkt.com/gary-cahill/profil/spieler/27511"
"9","Alex","http://www.transfermarkt.com/alex/profil/spieler/15420"
"10","Ashley Cole","http://www.transfermarkt.com/ashley-cole/profil/spieler/3182"
"11","Ryan Bertrand","http://www.transfermarkt.com/ryan-bertrand/profil/spieler/40611"
"12","Bosingwa","http://www.transfermarkt.com/bosingwa/profil/spieler/9813"
"13","Paulo Ferreira","http://www.transfermarkt.com/paulo-ferreira/profil/spieler/9832"
"14","Michael Essien","http://www.transfermarkt.com/michael-essien/profil/spieler/5588"
"15","John Mikel Obi","http://www.transfermarkt.com/john-mikel-obi/profil/spieler/30739"
"16","Oriol Romeu","http://www.transfermarkt.com/oriol-romeu/profil/spieler/66100"
"17","Sam Hutchinson","http://www.transfermarkt.com/sam-hutchinson/profil/spieler/40617"
"18","Nathaniel Chalobah","http://www.transfermarkt.com/nathaniel-chalobah/profil/spieler/128900"
"19","Ramires","http://www.transfermarkt.com/ramires/profil/spieler/54170"
"20","Raúl Meireles","http://www.transfermarkt.com/raul-meireles/profil/spieler/13168"
"21","Frank Lampard","http://www.transfermarkt.com/frank-lampard/profil/spieler/3163"
"22","Josh McEachran","http://www.transfermarkt.com/josh-mceachran/profil/spieler/128905"
"23","Juan Mata","http://www.transfermarkt.com/juan-mata/profil/spieler/44068"
"24","Lucas Piazón","http://www.transfermarkt.com/lucas-piazon/profil/spieler/176485"
"25","Salomon Kalou","http://www.transfermarkt.com/salomon-kalou/profil/spieler/7971"
"26","Florent Malouda","http://www.transfermarkt.com/florent-malouda/profil/spieler/5461"
"27","Yossi Benayoun","http://www.transfermarkt.com/yossi-benayoun/profil/spieler/7858"
"28","Fernando Torres","http://www.transfermarkt.com/fernando-torres/profil/spieler/7767"
"29","Daniel Sturridge","http://www.transfermarkt.com/daniel-sturridge/profil/spieler/47082"
